Job Title,Description
Data Analyst,"about ica international consulting associates, inc. ica is a rapidly growing business located in the washington, d.c. metro area. founded in 2009, we partner with federal agencies and large government services primes to achieve their missioncritical objectives. were a trusted advisor, delivering cuttingedge innovation and solutions in three key areas research and data analysis, advanced data science, and strategic services. our current focus is on supporting multiple analytics and research programs across the department of health and human services hhs. at ica, we believe our success starts with our people. we foster a collaborative oneteam environment where worklife balance is prioritized. were building dynamic, highly skilled teams in a welcoming and supportive atmosphere. if youre passionate about using your technical expertise to make a difference in federal healthcare, we want to talk to you. about the role are you passionate about leveraging advanced analytics to drive organizational transformation in todays datadriven landscape, were seeking a data analyst who can extract meaningful insights from complex datasets, enabling datadriven decisionmaking in the healthcare industry. as a data analyst, youll work with stakeholders to analyze large datasets, develop datadriven reports, and provide actionable insights that improve healthcare outcomes. youll focus on data understanding, business acumen, and storytelling, ensuring that complex data is transformed into clear and compelling narratives for decisionmakers. about you you are an analytical thinker with a strong foundation in sql and python, capable of working with large datasets to uncover trends and opportunities. you have experience in the healthcare industry and are adept at leveraging data to drive strategic decisions. your ability to communicate insights effectively and collaborate with various teams makes you an essential part of a datadriven organization. qualifications 35 years of experience in data analysis flexible for exceptional candidates strong proficiency in sql and python for data manipulation and analysis healthcare industry experience preferred experience with databricks is beneficial ability to translate complex data into actionable insights through compelling storytelling strong business acumen and data visualization skills responsibilities analyze large datasets to uncover trends and insights develop and maintain dashboards, reports, and visualizations collaborate with stakeholders to identify key metrics and business needs utilize sql and python to clean, process, and model data work with healthcare datasets to provide industryspecific insights present findings in a clear and concise manner to both technical and nontechnical audiences stay updated on the latest data analysis tools and best practices if youre a detailoriented, datadriven professional with a passion for uncovering insights that drive realworld impact, we encourage you to apply. join us in transforming healthcare through datadriven innovation."
PowerBI Data Analyst,"growing medical billing company looking for a highly motivated, critical thinking individual with effective communication skills. the powerbi data analyst role is a position supporting the client analytics division of medical billing management services. interviews to begin immediately. great benefits and excellent opportunity for growth and advancement. as part of the client analytics team, you will get a broad view of how our company operates while supporting a diverse client base across the country. the position will ensure appropriate preparation and analysis for client reporting deliverables confirming their relevancy, accuracy and overall quality. in this position, the ideal candidate will have the chance to grow with the company. job type fulltime fully remote before you apply for this position, please note that you must reside within one hour of our wyomissing, pa or newark, de offices. responsibilities develop dashboards and other weekly trending reports in powerbi to support internal users develop key performance dashboards to be used for client analysis and comparisons interface with client services to ensure that analytical needs are being met work closely with the data engineer and other development team members train and support other members of the client analytics department on powerbi streamline reports to support growth and scalability prepare monthly financial reporting packages provide analysis for client performance, using knowledge of revenue cycle charge auditing analyze insurance reimbursements against contract rates provide ad hoc reporting as requested act as support person on special projects and initiatives other duties as assigned required skillsabilities strong attention to detail effective communication skills advanced with microsoft excel advanced with vlookup, pivot tables and other formulas proficiency with dax language and data modeling preferred experience with sql and power query education bachelors degree preferred 2 years experience in data analytics 2 years experience in powerbi equal employment opportunity mbms, llc is committed to ensuring equal employment opportunity. all employment decisions, policies, and practices are in accordance with applicable federal, state and local antidiscrimination laws. mbms, llc will not engage in or tolerate unlawful discrimination including any form of harassment on account of a persons sex, age, race, color, religion, creed, sexual preference or orientation, marital status, national origin, ancestry, citizenship, military status, veteran status, disability, genetic information or any other protected group or status. this policy applies to all of mbms, llcs officers, managers, supervisors, employees, and customers. all such individuals are both protected under and restricted by this policy."
Data Analyst,na
Data Analyst,"applicant must live in charlotte, nc or the surrounding areas job title data analysthybrid work opportunity company intro retirement clearinghouse was voted one of the top places to work by charlotte magazine in 2024 when you join the team, youll make a real difference and can learn, grow and make a positive impact every day. at retirement clearinghouse we are helping millions of americans preserve their retirement savings. we use innovative technology and provide exceptional customer service to help participants make informed decisions about their retirement accounts without using high pressure sales pitches. job position description we are looking for an experienced data analyst. the ideal candidate will create high quality tableau dashboards for both internal and external clients. maintain business critical internal and external reporting dashboards. aggregate data from across the firm to uncover data insights that will give tactical and strategic business insights. work with data warehouse team to further expand the capabilities and accuracy of the data used for reporting and insights. read and write sql queries that pull needed information from the database. partner with it and business stakeholders to better understand clients, processes, and opportunities. pay range 65,00075,000 annually top benefits or perks as a team member at retirement clearinghouse, youll enjoy a culture that fosters a positive work life balance. hybrid work opportunities. competitive hourly rate with bonus potential. 18 days of paid time off per year, 5 sick days per year, 3 floating holidays per year actual time off is prorated the first year and is based upon date of hire paid holidays medical, dental, vision, shortterm disability, longterm disability, life insurance benefits on day 1 of employment 401k eligibility and 100 vesting with employer matching on day 1 of employment. professional growth and career advancement opportunities training is provided to all new hires to help you achieve your goals and ensure your success upon successful completion of the onsite training, candidates will be permitted to work remotely on the same terms and conditions as other employees in the position. employees who wish to work onsite may do so in our stateoftheart office location retirement clearinghouse is in the ayrsley area located in charlotte, nc, the second largest banking center in the united states. retirement clearinghouse is an eeo employer and participates in the everify program. preemployment background checks will be performed upon offer of employment."
Data Analyst,"the department of neurosurgery at the university of virginia is seeking a data analyst to support clinical research, particularly in advanced neuromonitoring in brain injuries and stroke. this role is pivotal in our analysis of large timeseries data critical for understanding brain function and recovery. responsibilities ensure high quality data is collected for analysis and continually verify integrity of the data. identify errors and help develop process improvements. perform analysis of information and identify, interpret, and report the trends or patterns found in data sets. develop recommendations based on findings. synthesize data analysis by creating graphs, reports, and presentations of results in order to make strategic and programmatic decisions. develop content for seminars, forums, and presentations. minimum qualifications education bachelors degree experience relevant experience may be considered in lieu of a degree. preferred qualifications bs in biomedical engineering or related field experience with waveform level data analytics familiarity with matlab, python or other similar languages data cleaning, alignment, and processing capabilities this position is hybrid located in charlottesville, va. this position is a restricted position and is dependent upon project need, availability of funding and performance. anticipated hiring range 40,000 50,000 commensurate with education and experience. this is an exempt level, benefited position. for more information on the benefits at uva, visit www.hr.virginia.edubenefits. this position will remain open until filled. this position will sponsor applicants for work visas. the university will perform background checks on all new hires prior to employment. a completed preemployment health screen is required for this position prior to employment. to apply please apply through the uva job board and search r0071467. internal applicants must apply through their uva workday profile by searching find jobs. complete an application online with the following documents cv cover letter upload all materials into the resume submission field, multiple documents can be submitted into this one field. alternatively, merge all documents into one pdf for submission. applications that do not contain all required documents will not receive full consideration. references will be completed via uvas standardized process skill survey. a total of five references will be requested via skillsurvey during the final phase of the interview process. for questions about the application process, please contact jon freeman, recruiting specialist, at jf2swvirginia.edu for more information about uva and the charlottesville community please se the university of virginia, including the uva health system which represents the uva medical center, schools of medicine and nursing, uva physicians group and the claude moore health sciences library, are fundamentally committed to the diversity of our faculty and staff. we believe diversity is excellence expressing itself through every persons perspectives and lived experience. we are equal opportunity employers. all qualified applicants will receive consideration for employment without regard to age, color, disability, gender identity or expression, marital status, national or ethnic origin, political affiliation, race, religion, sex, pregnancy, sexual orientation, veteran or military status, and family medical or genetic information."
Data Analyst,"sony corporation of america, located in new york, ny, is the u.s. headquarters of sony group corporation, based in tokyo, japan. sonys principal u.s. businesses include sony electronics inc., sony interactive entertainment llc, sony music entertainment, sony music publishing and sony pictures entertainment inc. with some 900 million sony devices in hands and homes worldwide today, a vast array of sony movies, television shows and music, and the playstation network, sony creates and delivers more entertainment experiences to more people than anyone else on earth. position summary sony corporation of america sca is seeking a data analyst to join our centralized sony data analytics team. as a data analyst, you will play a key supporting role in a variety of analysis projects that span multiple industries, including music, gaming, film, tv, and electronics. this position will be on a hybrid schedule with 2 days per week in the culver city office. job responsibilities working under guidance, you will help develop and execute analysis designsapproaches, understand complex datasets, and uncover valuable trends and key insights for stakeholder presentation. create clear, compelling reports and visualizations that effectively communicate findings to stakeholders, empowering datadriven decisionmaking across the organization. monitor key performance indicators kpis and metrics to evaluate the effectiveness of business strategies and initiatives, providing actionable recommendations for improvement. identify opportunities for process improvements and efficiencies in data collection and analysis methodologies. utilize your analytical skills to explore data, identify patterns, and support decisionmaking processes that influence strategic initiatives. leverage your curiosity for data and passion for the entertainment industry to contribute to projects that span various sectors, enhancing the overall impact of our analytics efforts. remain up to date on industry trends and best practices in data analysis, continuously enhancing skills and knowledge to provide value to the organization. honesty, trustworthiness and ethical conduct are material requirements for the responsibilities outlined above qualifications for position your qualifications and experience should include 1 years of sql programming experience required. 1 years of businessdata analytics work strong analytical skills passionate about the entertainment industry with a desire to contribute to projects that impact this field familiarity with the data analytics lifecycle, querying sql, data cleansing, developing insights and presentation. ability to collaborate and communicate effectively with a diverse group of established partners, including analytical, technical, and business teams from across operating companies wellspoken with strong presentation skills that effectively translate data in a compelling way, both verbal and written, to influence stakeholder strategy an ambitious selfstarter who deals well with ambiguity experienced with bi visualization tools such as tableau and domo operates with attention to detail to identify data discrepancies, perform data cleansing, and maintain data integrity to uncover actionable insights babs degree, preferably in the data analytics field preferred skills basic knowledge of python for data analysis and modeling familiarity with the music, movie, and gaming industries knowledge of data engineering principles to support data management and analysis efforts experience with targeting segmentation, cohort analysis and tracking, and ab and multivariate tests in addition to competitive pay and benefits, we offer an environment and culture that promotes diversity, equity, and inclusion. we are committed to creating an inclusive employee experience for you to thrive as part of sonys purpose to fill the world with emotion through the power of creativity and technology. benefits sca offers benefitseligible employees generally regular employees scheduled to work 20 or more hours a week a comprehensive benefits program that offers coverage and support for employees and their familys physical, emotional, and financial wellbeing. what we offer you comprehensive medical, prescription drug, dental, and vision coverage with coverage for spousesdomestic partners and child dependents, including access to a health savings account hsa and flexible spending account fsa employee assistance plan and comprehensive behavioral health benefits fertility benefits, including, surrogacy, and adoption assistance programs basic and supplemental life insurance for employees as well as supplemental life insurance coverage for their spousesdomestic partners and children voluntary benefits such as group legal, identity theft protection, accident, and hospital indemnity insurance shortterm longterm disability plans up to 12 weeks of paid parental and caregiver leave 401k plan with pretax, roth, and aftertax options and company match with immediate vesting education assistance and student loan programs other programs flexible work arrangements, including remote and hybrid work schedules time off to include vacation, paid holidays, sick leave, summer fridays early release, and a winter break between christmas and new years day based on business needs referral bonuses subject to eligibility matching gift program a wide variety of employee business resource groups ebrgs special discounts on sony products, offered exclusively to sony employees employee stock purchase plan sony covers commissions and fees for your sony stock purchases made through aftertax payroll deductions the anticipated annual base salary for this position is 95,000 to 105,000. in addition to the annual base salary, this role has an annual bonus target of 7. this range does not include any other compensation components or other benefits that an individual may be eligible for. the actual base salary offered depends on a variety of factors, which may include as applicable, the qualifications of the individual applicant for the position, years of relevant experience, specific and unique skills, level of education attained, certifications or other professional licenses held, and the location in which the applicant lives andor from which they will be performing the job. lias1 sony is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religious creed, sex including pregnancy, gender, national origin, citizenship, ancestry, age, physical or mental disability, military status, status as a veteran or disabled veteran, sexual orientation, gender identity or expression, marital or family status, genetic information, medical condition, or any other basis protected by applicable federal, state, or local law, ordinance, or regulation. disability accommodation for applicants to sony corporation of america sony corporation of america provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. for reasonable accommodation requests, please contact us by email at careerssonyusa.com or by mail to sony corporation of america, human resources department, 25 madison avenue, new york, ny 10010. please indicate the position you are applying for. eeo is the law eeo is the law supplement right to work englishspanish everify participation englishspanish while sca does not require employees to be vaccinated against covid19, there are certain sony offices that require employees to be vaccinated in order to enter. if you will be located at or travel to those offices, you will be required to be fully vaccinated to enter. the company will consider requests for reasonable accommodations for documented medical reasons and for sincerely held religious beliefs in accordance with applicable law. please do not include proof of vaccination status or any indication of a possible request for a vaccination accommodation when submitting your application materials. if applicable, the company will follow up with you directly to request proof of vaccination and to discuss any potential accommodations."
"Data Analyst, Field Planning & Analytics","job description the analyst, field planning analytics is a role which will aid in data, analytics and process reporting to help drive initiatives and strategy for field programming. the analyst will work collaboratively with our field and marketing colleagues, as well as home office employees, along with continuously contributing creative ideas. the position is a part of the field planning analytics team which drives field force effectiveness by optimizing our sales force size and structure, ensuring our ic designs are driving the right behavior, and ensuring our call plans, field tools and operations provide our field teams with what they need to drive the business in their markets. this position reports into the leader. responsibilities ensure quality and timeliness of key deliverables and embrace the idea of owning workstreams, acting as the key point of contact. effectively prioritize across competing projects, maintaining constant flow of communication with customers and demonstrating strong project management abilities. proactively identify areas of opportunity to enhanceimprove existing processoutputs. effectively manage vendor partnerships timelines, insights, communications with specific projects and initiatives. serve as liaison between therapeutics operations and analytics, business technology solutions, training, and franchise teams to partner in the design, deployment, training, maintenance and communications of field facing solutions. provide reporting and analytics on varying capabilities to business director and associate director level stakeholders. requirements ba or bs degree in business, computer science, data science, mathematics, or related technical field. 01 year of analytical andor related operations experience strongly preferred, ideally within the pharmaceutical andor healthcare industry. strong working knowledge and experience with sql, dataiku, and power bi. snowflake experience preferred. strong proficiency in excel e.g., formulas, pivot table, charts, visualizations, etc. and all components of ms office suite e.g., word, powerpoint. strong analytical reasoning, intellectual curiosity, business acumen, and creativity in problemsolving. demonstrated database management and project management skills. ability to clearly and confidently articulate complex and difficult data concepts to a broad client base, including senior leadership, sales leadership, and other highlevel contacts. attention to detail and ability to multitask in a fastpaced environment in order to meet critical deadlines. ability to work crossfunctionally, in a matrix environment, and collaborate with multiple stakeholders verticals, coe, brand teams. ability to make valuable contributions both independently and as a collaborative team member, fostering a positive and productive work environment. selfmotivated and creative thinker."
Data Intelligence / PowerBI Analyst,"the opportunity we are seeking a skilled power bi developer to join our insights analytics team. the successful candidate will work closely with our insights analytics team to develop a suite of interactive dashboards and reports that provide critical insights into financial performance, revenue intelligence and customer engagement that can be made available to our customers through the nexl suite of products. this role requires strong analytical skills, a deep understanding of data visualisation, and the ability to translate complex business requirements into clear, actionable reporting solutions. the ability to craft stories with data that nontechnical stakeholders can understand and, more importantly, act upon is critical. our values committed to care we genuinely care about what we do and who we do it for. our commitment goes beyond delivering resultswere here to help, support, and make a real difference. human at the core everything we do revolves around people. we prioritize relationships and authentic connections, making sure that empathy is at the heart of our work. different with purpose were not afraid to stand out. being different isnt a gimmick its a reflection of our commitment to innovation, creativity, and doing things in our own way, with clear intentions behind every choice. legal through and through we are passionate about the legal industry. we stay ahead of trends by constantly innovating, and were crazy enough to believe we can reshape the industry. in 2024, we were recognised by deloitte and the australian financial review as one of the fastest growing technology companies in australia. were backed by the best vcs in australia and around the globe including evp, shearwater capital, saniel ventures and the legaltech fund as well as angels from the best law firms in the country. key responsibilities design, develop, and maintain power bi dashboards and reports to support revenue operations. work closely with insights analytics stakeholders to understand data needs and optimize reporting to support both internal and clients goals. transform raw data into actionable insights through effective data modeling and visualization. ensure data accuracy, integrity, and performance of power bi solutions. implement rowlevel security rls and other access controls as needed. optimize power bi datasets, reports, and workspaces for scalability and performance. integrate power bi with various data sources, including crm systems and other business applications. provide training and support to stakeholders on power bi best practices. required skills experience strong experience in power bi development, including dax and power query m. proficiency in data modeling and etl extract, transform, load processes. experience working with sales, crm, or revenue operations data. ability to design intuitive, userfriendly dashboards that provide clear insights. solid understanding of sql for querying and optimizing data sources. familiarity with rowlevel security rls implementation in power bi. strong problemsolving skills and ability to work with nontechnical stakeholders. nicetohave skills experience with crm systems e.g., hubspot, salesforce and their data structures knowledge of azure data services e.g., azure sql, synapse, data factory. familiarity with python or r for advanced analytics. experience working with apis and integrating power bi with thirdparty data sources exposure to predictive analytics and aidriven insights would be a huge advantage. the work culture at nexl highly transparent with fortnightly twice a month allcompany meetings with direct insight into team updates, customer stories, hiring plans and key metrics nps, revenue, financial performance. you will be part of the operations team, but you will also be exposed to and working directly with multiple departments engineering, product, design, marketing and sales. were a remotefirst culture with the ability to work at a coworking space if desired. a worklife balance you wont find elsewhere. ability to participate in our employee stock option plan."
"Sr. Analyst, Analytics & Data Products","oneoncology is positioning community oncologists to drive the future of cancer care through a patientcentric, physiciandriven, and technologypowered model to help improve the lives of everyone living with cancer. our team is bringing together leaders to the market place to help drive oneoncologys mission and vision. why join us this is an exciting time to join oneoncology. our valuesdriven culture reflects our startup enthusiasm supported by industry leaders in oncology, technology, and finance. we are looking for talented and highlymotivated individuals who demonstrate a natural desire to improve and build new processes that support the meaningful work of community oncologists and the patients they serve. job description the senior analyst, analytics data products rcm will report to oneoncologys manager, analytics data products. this role will support projects carried out by the oneoncology revenue cycle management rcm team by generating insights and delivering actionable information to oneoncology and its partner practices. responsibilities collaborate with the rcm team to identify data and analytics needs, including metric definition, kpi identification, and rcm workflow tools. own endtoend development of rcmfocused analyses and tools to meet the needs of the rcm team and practice stakeholders. creation of dashboards that provide users with insight on practice rcm performance. complete adhoc rcm data analyses on large data sets develop expertise in rcm data to offer informed on its potential applications. develop deliverables to communicate findings to oneoncology and partner practice leaders as needed. other duties as assigned to help drive our mission of improving the lives of everyone living with cancer. qualifications proficiency in sql familiarity with powerbi or other data visualization proficiency in excel and powerpoint familiarity with working knowledge of the healthcare industry familiarity with working knowledge of revenue cycle management data and workflows bachelors degree 35 years work experience experience working for a consulting firm, health insurer, healthcare provider organization, or other similar organization a plus. lian1 liremote"
Content and Data Analyst,"description powerstop stands out as the pioneering force within the automotive aftermarket brake sector. being part of powerstops team entails becoming a member of a company that is reshaping the industrys landscape. join us and become an integral part of a brand that is undergoing remarkable expansion, where you can confidently expect to have the opportunity to contribute significantly to our teams success. we are continually in search of enthusiastic and achievementdriven individuals who possess the drive and enthusiasm to aid us in achieving our goals. moreover, we highly value candidates who share a passion for automobiles and a willingness to grasp the industry. we are seeking a dynamic and proactive content and data analyst to manage price sheets, optimize product content, and support sales growth. this role is essential for ensuring our customers have accurate, engaging content and competitive and ontime pricing support. you will work crossfunctionally with content, product, and sales teams to enhance our market presence and support business objectives. essential duties and responsibilities price management refine and streamline the pricing update process by collaborating with crossfunctional teams to ensure timely, accurate uploads across all customer platforms. conduct detailed price analysis regularly to monitor market trends, identify pricing opportunities, and adjust strategies to maintain competitiveness while maximizing market share. customer setup optimization oversee the endtoend setup process for new product numbers, ensuring accurate and efficient execution. ensure all parts are fully set up and accessible to customers, identifying any missing information or gaps and facilitating complete execution to enhance customer experience. optimize product detail pages pdps by managing the upload of highquality images, videos, and other content, aiming to increase customer engagement and drive sales conversion. collaborate with the catalog department to address both real and perceived catalog issues, ensuring accuracy and customer satisfaction. sales business review support support sales teams in the creation of compelling business review decks for customer meetings, highlighting key data insights and contentdriven strategies. drive sales growth by developing creative ways to leverage content and data, continuously seeking opportunities to increase engagement and revenue. project line review management lead the project management of line reviews, ensuring deadlines are met and execution is efficient. facilitate communication and collaboration with relevant stakeholders to ensure alignment with business goals. competitive analysis monitor and analyze competitor trends, pricing strategies, and promotional activities to stay ahead in the market. provide strategic recommendations based on competitor analysis to continuously grow market share, adjusting pricing and content strategies as needed. trade show advertising support manage trade show logistics from start to finish, ensuring smooth operations and providing onsite support to maximize exposure and engagement. coordinate content creation for advertising campaigns, ensuring alignment with brand messaging and market trends. key competencies model powerstops core values and behaviors as outlined in the mission statementsafety first do the right thing win as a team focus on the customer act with urgency drive results always follow all company environmental and safety policies and procedures. treat everyone with respect and dignity, valuing diverse perspectives and experiences. act with honesty, transparency, and ethical behavior in all dealings and maintain the highest standards of integrity. embrace change and proactively adjust to evolving market trends and customer demands, and be flexible in finding innovative solutions. requirements bachelors degree in business or equivalent knowledge of how the us aftermarket distribution channel operates proficient with microsoft office suite word, powerpoint, excel, and power bi strong attention to detail and ability to interpret and quantify large sets of data. excellent written and verbal communication and interpersonal relationship skills to collaborate with diverse teams. resultsdriven with a track record of meeting and exceeding role requirements. ability to adapt to a fastpaced, everchanging environment. strong organizational skills with high attention to detail. proven ability to pivot seamlessly in response to shifting priorities, ensuring continued strategic focus and high performance in dynamic sales environments. automotive industry experience or a passion for automobiles, a plus strong analytical and problemsolving skills, with proficiency in data analysis. minimum of two years of automotive industry experience. proficiency with aces and pies data standards. ability to work crossfunctionally with content and product teams, advocating for customer needs and content challenges. selfstarter with strong problemsolving skills and an innate sense of curiosity. experience with salesforce is a plus. creative mindset with the ability to find innovative ways to increase sales and optimize product content."
Data Analyst,"bgb group data analyst our agency bgb group is a healthcare communications agency that offers a wide range of services, including traditional pharmaceutical advertising, promotional medical education, payer marketing, and consulting services. known for excellence and professionalism, were hired as strategic and creative partners by our biopharmaceutical clients to drive categorybrand awareness and growth. data analyst job overview the data analyst will play a critical role in uncovering actionable insights to drive innovation and strategic impact. this position focuses on working with claims data and requires expertise in applied data science, predictive analytics, and propensity modeling. the ideal candidate is a creative problemsolver with strong technical skills who can translate complex data into impactful narratives for stakeholders across internal and external teams. please note this is a hybrid position requiring onsite collaboration. the role will be based out of our office located in kansas city, mo. all candidates must be willing to commute into the office on a regular basis. responsibilities analyze and interpret trends and patterns from complex datasets, including claims data, marketing performance data, using advanced technical tools such as python, r, and sql. develop and implement predictive analytics models, such as propensity modeling, to forecast behaviors, outcomes, and trends. extract meaningful insights from healthcare claims data to inform strategies and enhance decisionmaking. build innovative solutions using statistical techniques to optimize business operations, such as evaluating system efficiencies, sales lead acquisition, or revenue forecasting. create visually compelling data presentations charts, graphs, tables to drive strategic discussions and decisionmaking. collaborate with stakeholders to identify clear business priorities and actionable solutions aligned with organizational goals. conduct analytical experiments and evaluate alternate models to identify the likelihood of different outcomes and refine methodologies. monitor and assess the effectiveness of promotional efforts, identifying opportunities to optimize return on investment. act as a thought leader and advisor to crossfunctional teams, promoting a datadriven approach to problemsolving. mentor and share expertise with peers, fostering a culture of continuous learning and collaboration. qualifications experience 24 years of experience in data analysis, predictive modeling, or analytics healthcare or pharma agency experience is preferred. technical skills proficiency with python, r, sql, or other advanced analytics tools experience with claims data or healthcare datasets is highly desirable. statistical knowledge handson experience with statistical modeling, forecasting, and propensity modeling. data manipulation skilled in data extraction, validation, and cleansing from multiple platforms. visualization proficient in creating data visualizations to tell a clear and compelling story for nontechnical audiences. industry knowledge familiarity with syndicated sales, promotional data, or longitudinal patientlevel data is a plus. analytical thinking ability to run experiments, evaluate multiple models, and provide actionable recommendations. soft skills strong problemsolving, communication, and collaboration skills ability to work across teams to develop solutions. this role offers the opportunity to innovate, explore advanced analytics techniques, and drive measurable impact within a fastpaced, cuttingedge environment. if you are a curious, collaborative, and driven analyst ready to take on challenges in the healthcare industry, wed love to hear from you salary range 65,000 90,000 the salary range provided is for the kansas cityhybrid position, which requires occasional inoffice presence, and represents what a potential hire may expect to earn in this role at bgb. for candidates in other locations, salary will be adjusted to reflect local market rates. actual salary decisions will be influenced by several factors that we use to determine overall fit, including experience both direct and indirect, education, training, demonstrated qualifications, and organizational need. salary is only one component of the total rewards package offered at bgb group. bgb group is an equal opportunity employer. all applicants will be considered without regard to race, color, religion, sex, age, national origin, citizenship status, sexual orientation, disability, veteran status or any category or class of person protected by law."
Junior Data Analyst,"job description key responsibilities data integration assist in designing, developing, and maintaining data pipelines and etl processes to consolidate and transform data from various sources. database management support the implementation and management of databases sql, nosql and data warehouses. data quality and governance collaborate with teams to ensure data quality, integrity, and security throughout all processes. data analysis conduct basic data analysis and assist in creating data visualizations to support business decisionmaking. documentation document technical designs, specifications, and test plans. skills and qualifications bachelors degree in computer science, engineering, information systems, or a related field. proficiency in programming languages such as python, java, or scala. familiarity with database technologies sql, nosql and data warehousing concepts. understanding of etl extract, transform, load processes and data integration techniques. strong analytical and problemsolving skills with attention to detail. ability to work independently and collaboratively in a team environment. excellent communication skills to effectively interact with stakeholders. job types fulltime, contract pay 55,000.00 60,000.00 per year schedule 8 hour shift experience sql 1 year preferred ability to commute ashburn, va 20147 preferred ability to relocate ashburn, va 20147 relocate before starting work preferred work location in person"
ERP Data Analyst- NEW,"since 1875, mueller distributors have been a family run business and have built an outstanding reputation as a leading building materials distributor. we are driven to provide the highest level of customer satisfaction in all our work through outstanding quality service. we are looking for an erp data analyst to help take us to the next level the erp analyst will be responsible for analyzing, designing, and implementing erp data solutions to support business operations. this role involves working closely with various departments to ensure data integrity, improve system efficiency, and provide actionable insights. responsibilities reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. analyze and interpret complex data sets within the erp system. develop and maintain data models, reports, and dashboards. collaborate with crossfunctional teams to identify data needs and provide solutions. ensure data accuracy and integrity across all erp modules. perform data validation and troubleshooting to resolve data issues. support erp system upgrades and enhancements. provide training and support to endusers on datarelated functionalities. document data processes and maintain data dictionaries. additional responsibilities may apply. qualifications bachelors degree in computer science, information systems, or a related field. proven experience as an erp data analyst or similar role. strong knowledge of erp systems e.g., cloudsuite distribution, sap, oracle, microsoft dynamics. proficiency in sql and data analysis tools. excellent analytical and problemsolving skills. strong communication and interpersonal skills. ability to work independently and as part of a team. preferred qualifications experience with data visualization tools e.g., tableau, power bi. knowledge of data warehousing and etl processes. certification in erp systems or data analysis. cloudsuite sql queries power bi excel benefits of joining our team competitive salary and benefits package. opportunities for professional growth and development. collaborative and inclusive work environment. paid time off company paid holidays health insurance and prescription drug coverage flexible spending accounts medical and dependent care dental insurance vision insurance company paid life insurance optional group life and disability 401k with a generous company match career training mueller roofing distributors is an equal opportunity employerdrugfree workplace and we welcome and encourage diversity. we are always recruiting toptalent to join our team. please visit our website at www.mueller1875.com for more information."
Data Analyst,"data analyst required qualifications as evidenced by an attached resume bachelors degree foreign equivalent or higher in computer science, biology or environmental science or related field. three 3 years of related fulltime experience in data management lifecycle activities and indepth data analysis and modeling. working knowledge and experience of statistical modeling techniques for ecological and environmental data. experience working with large datasets and data cleaning and standardization techniques. expertise in r, excel, sql, c, andor linux. experience in marine or environment sciences. preferred qualifications masters degree foreign equivalent or higher in computer science, business, economics, biology or environmental science or related field. experience with python. brief description of duties the data analyst will report to principal investigator dr. yong chen, processing and analyzing large data sets for the historical hudson river biological monitoring program hrbmp. the successful incumbent will have strong analytical and problemsolving skills with the ability to interpret complex data, as well as strong written and verbal communication skills with the ability to present findings to diverse audiences. the incumbent is also expected to work with the pi and a team of graduate students and postdocs to develop new research potentials and programs using the historical hrbmp data and biological samples. responsibilities will include evaluate, compile, analyze, model, and manage data from the hrbmp and associated biological collections. develop new modeling protocols and identify potential new research fields and proposals for program funding. prepare reports and data visualizations communicate findings to stakeholders and collaborators. other duties as assigned. special notes the research foundation of suny is a private educational corporation. employment is subject to the research foundation policies and procedures, sponsor guidelines and the availability of funding. flsa exempt position, not eligible for the overtime provisions of the flsa. minimum salary threshold must be met to maintain flsa exemption. for this position, we are unable to sponsor candidates for work visas. resumecv and cover letter should be included with the online application. stony brook university is committed to excellence in diversity and the creation of an inclusive learning and working environment. all qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, pregnancy, familial status, sexual orientation, gender identity or expression, age, disability, genetic information, veteran status and all other protected classes under federal or state laws. if you need a disabilityrelated accommodation, please call the university office of equity and access oea at 631 6326280 or visit oea. in accordance with the title ii crime awareness and security act a copy of our crime statistics can be viewed here. visit our why work here page to learn about the total rewards we offer. suny research foundation a great place to work. the starting salary range or hiring range to be offered for this position is noted below, it represents sbus good faith and reasonable estimate of the range of possible compensation at the time of posting. litg1 job number 2501173 official job title programmeranalyst specialist job field information technology primary location usnystony brook departmenthiring area school of marine and atmospheric sciences schedule fulltime shift day shift shift hours 8305pm posting start date apr 15, 2025 posting end date apr 29, 2025, 105900 pm salary81,000 90,000 appointment type regular salary gradee4 sbu areathe research foundation for the state university of new york at stony brook"
